,interpret_hlavni,track,youtube
91545,Pulse Tom,Cuando (Floresca el chuno),
91576,U2,Get On Your Boots,
91580,Lady Gaga,Poker Face,
91592,Britney Spears,Circus,
91607,Ironik,Tiny Dancer,
91617,Beyoncé,Single Ladies (Put a Ring On It),
91618,Will.I.Am,I Like To Move It,
91631,David Guetta,Everytime We Touch,
91637,Kanye West,Heartless,
91643,Katy Perry,Thinking Of You,
91644,Elize,Hott Stuff,
91645,Royal Freakz,Be My Lover 2009,
91647,Ne-Yo,Mad,
91648,Offspring,"Kristy, Are You Doing Okay?",
91696,Bushido,Für immer jung,
91702,Mena Maria,All This Time (Pick-Me-Up Song),
91708,Oasis,I´m Outta Time,
91710,Dj Wich,What We Need,
91711,Mraz Jason,Lucky,
91716,50 Cent,Get Up,
91717,Taylor Swift,Love Story,
91719,Enrique Iglesias,Away,
91720,Akon,Beautiful,
91722,Lucie Vondráčková,Láska umí víc,
91725,Dizm Tay,Dream Girl,
91792,Darell Dave,Children,
91815,Kelly Clarkson,My Life Would Suck Without You,
91822,Dido,Quiet Times,
91825,Monkey Business,Who Killed My Libido?,
91843,Fragma,Memory,
91905,Flo Rida,Right Round,
92079,Amy Macdonald,Mr Rock And Roll,
92081,Eminem,Crack A Bottle,
92090,Enrique Iglesias,Takin´ Back My Love,
92098,Novaspace,Dancing Into Danger,
92104,No Name,O šťastí,
92105,Support Lesbiens,Seas,
92112,T.I.,Dead And Gone,
92113,Tisdale Ashley,Not Like That,
92121,Indy,Rockstar,
92210,Jana Kirschner,Pokoj v duši,
92222,Miley Cyrus,See You Again,
92223,Le Monde,Dnem i nocí,
92225,Take That,Greatest Day,
92323,Mig 21,Tančím,
92347,September,Because I Love You,
92413,Lady Gaga,"Eh, Eh (Nothing Else I Can Say)",
92422,Tereza Kerndlová,Holka jako já,
92424,Nightwork,Globální oteplování,
92435,September,Can´t Get Over,
92448,Craig David,Insomnia,
92505,D-Lete Funk-K,Save Tonight,
92507,Dance Nation,Sunshine,
92518,Rahman A.R.,Jai Ho!,
92542,Aloha From Hell,Walk away,
92545,Kid Cudi,Day 'N' Nite,
92588,Black Eyed Peas,Boom Boom Pow,
92590,Beyoncé,Halo,
92595,Mind Michael,Baker Street,
92600,Baracuda,Where Is The Love,
92605,P!Nk,Please Don't Leave Me,
92615,White Lies,To Lose My Life,
92621,Hakimali,Ding dong,
92695,David Deyl,Teď hned,
92707,Marek Ztracený,Pohádky,
92717,Bob Sinclar,La La Song,
92724,Airfare,School,
92730,Aysel,Always,
92737,All American Rejects,Gives You Hell,
92748,Britney Spears,If You Seek Amy,
92827,Toxique,Honey,
92849,Depeche Mode,Wrong,
92870,Lily Allen,Not Fair,
92891,Nickelback,I'd Come For You,
92906,Green Day,Know Your Enemy,
92907,Cornell Chris,Part Of Me,
92908,Soulja Boy Tell 'Em,Kiss Me Thru The Phone,
92925,Snow Patrol,Crack The Shutters,
92926,Big Ali,Neon Music,
92927,Eminem,We Made You,
92928,Mando Diao,Dance With Somebody,
92930,Killers,Spaceman,
92932,Aquagen,Hard To Say Iďm Sorry,
93003,Flo Rida,Sugar,
93011,Michal Hrůza,Napořád,
93019,Katarína Knechtová,V tichu,
93022,Alesha Dixon,Breathe Slow,
93025,Tisdale Ashley,It´s Alright It´s OK,
93033,Noisettes,Don't Upset The Rhythm,
93089,Xindl X,Anděl,
93189,Daniel Landa,Malá díra v hlavě,
93209,Kat De Luna,Unstoppable,
93301,Lady Sovereign,So Human,
93303,Lady Gaga,LoveGame,
93306,Ciara,Love Sex Magic,
93315,Shaun Baker,Give!,
93320,Bek Ofis,Chvíle,
93322,U2,Magnificent,
93333,Mandrage,Hledá se žena,
93336,Verona,XX XX You Really Wanna,
93338,O5,Máš mě na svědomí,
93341,David Guetta,When Love Takes Over,
93398,Linkin Park,New Divide,
93407,Sean Kingston,Fire Burning,
93433,Peter Nagy,Rozhľadňa,
93498,Reamonn,Million Miles,
93536,Ronan Keating,Time After Time,
93611,Verona,Do You Really Wanna Know,
93619,Sunrise Avenue,Whole Story,
93620,Tina,Mám chuť na niečo chladené,
93632,Charlie Straight,Platonic Johny,
93641,Black Eyed Peas,I Gotta Feeling,
93645,Rybak Alexander,Fairytale,
93648,Merriweather Daniel,Change,
93707,Milow,Ayo Technology,
93780,Miley Cyrus,Climb,
93814,Pixie Lott,Mama Do,
93817,Beyoncé,Sweet Dreams,
93893,Divokej Bill,Ve dvou se to táhne líp,
93940,Anastacia,Defeated,
93946,Pitbull,I Know You Want Me,
93995,Miro Žbirka,Tento song,
94000,Kelly Clarkson,I Do Not Hook Up,
94007,Agnes,Release Me,
94011,Nelly Furtado,Manos Al Aire,
94014,Keri Hilson,Knock You Down,
94039,Twiins,Slip Of The Tongue,
94114,Aqua,Back to the 80´s,
94116,7 Ladies,Všetko máme pred sebou,
94118,Pussycat Dolls,Hush Hush,
94119,Nena,99 LuftBallons,
94120,Depeche Mode,Peace,
94132,Cascada,Evacuate The Dancefloor,
94136,September,Until I Die,
94137,La Roux,Bulletproof,
94138,Novaspace,Time After Time,
94185,Green Day,21 Guns,
94188,Aneta Langerová,V bezvětří,
94192,Alexandra Burke,Hallelujah,
94213,Lady Gaga,Paparazzi,
94219,Oceana,Cry Cry,
94248,Michael Jackson,Billie Jean,
94375,Mariah Carey,Obsessed,
94389,Lenka,Show,
94397,Marquess,Arriba,
94409,P!Nk,Funhouse,
94416,Kristina,Stonka,
94423,Beyoncé,Crazy  In Love,
94486,Manian,Welcome To The Club,
94489,No Name,"Ná, ná, náá",
94490,Dj Scotty,Black Pearl,
94501,Tomáš Klus,VeSmíru,
94523,Karel Gott,Tante cose da veder,
94538,Madonna,Celebration,
94614,Colbie Caillat,Falling For You,
94628,Simons Eva,Silly Boy,
94629,Mika,We Are Golden,
94639,Cascada,Because The Night,
94641,Support Lesbiens,Životní,
94802,Shakira,She Wolf,
94810,David Guetta,Sexy Bitch,
94826,Marek Ztracený,Je to zlý,
94889,Kryštof,Cyráno,
94897,Morandi,Colors,
94908,Petr Kolář,"Ještě, že tě lásko mám 2009 (live)",
94920,Houston Whitney,Milion Dollar Bill,
94924,Sugababes,Get Sexy,
94942,Mňága,Nejlíp jim bylo,
94968,Robbie Williams,Bodies,
95003,Ewa Farna,Toužím,
95008,Michal Hrůza,Píseň labutí,
95027,Sparks Jordin,Battlefield,
95031,Bimbo Jones,And I Try,
95032,Jeanette,Material Boy,
95037,R.I.O.,After The Love,
95049,Kryštof,Obchodník s deštěm,
95119,Rhymes Busta,I Know What You Want,
95132,Natalia Imbruglia,Want,
95133,Eminem,Beautiful,
95137,Inna,Hot,
95138,Bob Sinclar,Love You No More,
95139,Akon,We don´t care,
95140,Black Eyed Peas,Meet Me Halfway,
95144,Cruz Taio,Break Your Heart,
95149,Klubbingman,Another Day Another Night,
95203,Marta Jandová,Big Boy,
95206,Bon Jovi,We Weren´t Born To Follow,
95215,Flo Rida,Jump,
95229,Christina Aguilera,Candyman,
95289,Britney Spears,3,
95292,Pitbull,Hotel Room Service,
95294,Jay-Z,Run This Town,
95313,P!Nk,I Don't Believe You,
95387,Michael Jackson,This Is It,
95587,Torrini Emiliana,Jungle Drum,
95591,Alexandra Burke,Bad Boys,
95593,Rihanna,Russian Roulette,
95598,Lady Gaga,Bad Romance,
95606,Miro Žbirka,Strom,
95620,Maduar,Saturday Party Time,
95621,David Guetta,One Love,
95632,Twiins,"Boys, Boys, Boys",
95637,Beyoncé,Broken-Hearted Girl,
95644,Michael Bublé,Haven’t Met You Yet,
95645,Calvin Harris,I´m Not Alone,
95647,Sean Paul,Press It Up,
95694,Bpm,Chill,
95748,Shaun Baker,Blame It On the Summ,
95762,Jason Derulo,Whatcha Say,
95773,Miley Cyrus,Party In The USA,
95777,Jay Sean,Down,
95784,Spankers,Sex On the Beach,
95786,Jay-Z,Empire State Of Mind,
95787,Ropero Jerry,Dance With You,
95796,Tokio Hotel,Automatic,
95797,Timbaland,Morning After Dark,
95798,Sparks Jordin,SOS,
95802,Chipmunk,Oopsy Daisy,
95806,Onerepublic,All The Right Moves,
95810,Xindl X,Dysgrafik,
95811,Owl City,Fireflies,
95812,Gossip,Heavy Cross,
95814,Pixie Lott,Boys And Girls,
95816,Veronicas,Take Me on the Floor,
95818,Inna,Love,
95836,Divokej Bill,Batalion,
95837,Lucie Vondráčková,Fénix,
95920,David Deyl,Akorát,
95921,Shakira,Did It Again,
95923,No Pan!C,Neřeším,
95973,Superstar 2009,Příběh nekončí,
96015,Inna,Amazing,
96023,Aneta Langerová,Stačilo říct,
96032,Lil Jon,Boys And Girls,
96041,Andrews Michael,Mad World,
96084,Tina,Príbeh,
96092,Scooter,Ti Sento,
96096,Karel Gott,Zvonky štěstí 2009,
96115,Madonna,Revolver,
96117,Seal,I Am Your Man,
96171,Ke$Ha,Tik Tok,
96175,Leona Lewis,Happy,
96190,Tinchy Stryder,You´re Not Alone,
96220,Alicia Keys,Doesn´t Mean Anything,
96222,Kabát,Virtuoz,
96227,Walda Gang,Vánoční svařák,
96230,Novaspace,Love Changes Everything,
96328,Noga,Revolver,
96503,Michal Hrůza,Budu ti vyprávět,
96508,Pitbull,Shut It Down,
96519,Lady Gaga,Telephone,
96521,Westlife,What About Now,
96447,Katherine,Ayo Technology,
96615,Naughton Naturi,Fame,
96617,Jitka Charvátová,Real Life,
96618,Iyaz,Replay,
96642,Marta Jandová,Goodbye,
96670,Kryštof,Malý princ,
96672,Cheryl Cole,Fight For This Love,
96695,Black Eyed Peas,Rock That Body,
96704,Rihanna,Hard,
96710,Edward Maya,Stereo Love,
96715,Dj Gollum,Passenger,
96812,Různí,Hope For Haiti Now - Stranded,
96882,Robbie Williams,You Know Me,
96888,Samson Sidney,Riverside,
96904,David Guetta,Memories,
96915,Eddie Stoilow,Hey You,
96925,3Oh!3,Starstruck,
96933,O5,Zůstaň,
96988,Beyoncé,Video Phone,
96992,Keri Hilson,I Like,
97000,Inna,10 Minutes,
97002,Big Ali,Universal Party,
97006,Dj Tiesto,Who Wants To Be Alone,
97010,Black Eyed Peas,Imma Be,
97026,Caesars,Jerk It Out,
97027,Rihanna,Rude Boy,
97035,Timbaland,If We Ever Meet Again,
97098,Vojtěch Dyk,XXXXX Slunce v duši,
97100,Avril Lavigne,Alice,
97109,Jay-Z,Young Forever,
97199,Agnes,On And On,
97214,Cascada,Fever,
97305,Dead By Sunrise,Let Down,
97307,Thirty Seconds To Mars,Kings and Queens,
97315,Jason Derulo,In My Head,
97321,Lucie Vondráčková,Pro jinou,
97324,Ke$Ha,Blah Blah Blah,
97386,Marina And The Diamonds,Hollywood,
97494,Amy Macdonald,Don't Tell Me That It's Over,
97498,Sugababes,Wear My Kiss,
97503,Three 6 Mafia,Feel It,
97582,Embassy,Anděl,
97584,B.O.B.,Nothin´ On You,
97585,Aura Dione,I Will Love You Monday (365),
97602,Gabriella Cilmi,On A Mission,
97612,Marpo,"Já, sám a moje druhý já",
97624,Professor Green,I Need You Tonight,
97637,Stromae,Alors On Danse,
97644,Mandrage,Už mě víckrát neuvidíš,
97697,Get Far,Radio,
97699,Nightwork,Slunce v duši,
97700,Clou,Believe,
97748,Fame,XXXXX   .... Fame,
97808,Richard Müller,Už,
97817,"Justin Bieber Feat, Ludacris",Baby,
97882,Adam Lambert,Whataya Want From Me,
97885,Junior Caldera,What You Get,
97887,Pitbull,Pearly Gates,
97891,Inna,Deja Vu,
97896,Bernasconi Rico,Luv 2 Like It,
97938,Shakira,Gypsy,
97973,Train,"Hey, Soul Sister",
98010,Cheryl Cole,Parachute,
98018,Toxique,Shout,
98087,Christina Aguilera,Not Myself Tonight,
98093,Verona,Up To The Stars,
98095,Martin Chodúr,Celebrate,
98096,Cascada,Pyromania,
98097,Lip,I Miss You,
98099,Forks Jasper,River Flows In You,
98136,Markéta Konvičková,Co hvězdám šeptají,
98149,Kristina,Horehronie,
98192,Victoria,Come On Over,
98208,Lady Gaga,Alejandro,
98213,Kelis,Acapella,
98216,Usher,OMG,
98242,Alicia Keys,Empire State of Mind (Part II),
98294,Ke$Ha,Your Love Is My Drug,
98305,Lena,Satellite,
98306,David Guetta,Gettin´ Over You,
98340,Kylie Minogue,All The Lovers,
98392,Eddie Stoilow,Floating,
98394,Maduar,Dance & Kiss,
98403,Tinie Tempah,Pass Out,
98413,Onerepublic,Secrets,
98416,Katy Perry,California Gurls,
98438,Inna,XXXXX Deja Vu,
98494,Hayes Darren,I Miss You,
98495,Prezioso,Riddle,
98496,Roll Deep,Good Times,
98525,Selena Gomez,Naturally,
98539,Eminem,Not Afraid,
98541,Rihanna,Te Amo,
98581,Chinaski,Spáč,
98602,Goldfrapp,Rocket,
98704,Cypress Hill,Armada Latina,
98715,Yolanda Be Cool,We No Speak Americano,
98717,K´ Naan,Wavin´ Flag,
98736,Ruda Z Ostravy,Ostrava,
98802,Xindl X,Láska v housce,
98844,David Deyl,Nic nevzdávám,
98917,Muse,Neutron Star Collision,
98997,Jason Derulo,Ridin´ Solo,
99005,Spankers,Chupa Rico,
99006,Xx_Lucenzo,Vem Dançar Kuduro,
99008,Lumidee,Insomnia,
99010,Example,Kickstarts,
99011,Flo Rida,Club Can´t Handle Me,
99021,Rowland Kelly,Commander,
99103,Popcorn Drama,Vo svetri,
99107,Ben Cristovao,Give Me Some More,
99111,Mind Michael,Feel Your Body,
99122,Markéta Konvičková,To holky maj rády,
99148,Shakira,Waka Waka (This Time for Africa),
99189,Clamaran Antoine,Gold,
99196,Haddaway,You Gave Me Love,
99198,Jitka Charvátová,Smile,
99201,Sean Kingston,Eenie Meenie,
99213,Eminem,Love The Way You Lie,
99218,Style,Krásný léto přijde,
99232,Enrique Iglesias,I Like It,
99246,Buty,Jednou ráno,
99292,B.O.B.,Airplanes,
99297,Diesel Jay,Moje ex,
99299,Bălan Dan,Chica Bomb,
99310,Iyaz,Solo,
99312,Ne-Yo,Beautiful Monster,
99313,Kelis,4th of July (Fireworks),
99338,Stromae,Te quiero,
99399,Balan Dan,XXX Chica Bomb,
99449,Drake,Find Your Love,
99487,Mohombi,Bumpy Ride,
99509,Hurts,Better Than love,
99511,Owl City,Vanilla Twilight,
99574,Linkin Park,Catalyst,
99599,Mccoy Travie,Billionaire,
99611,Velile,Helele,
99644,Jana Kirschner,Keby si bol môj,
99678,Cruz Taio,Dynamite,
99693,Mike Posner,Cooler Than Me,
99697,Scissor Sisters,Fire With Fire,
99709,Tereza Kerndlová,Schody z nebe,
99710,Madcon,Glow,
99713,Ramirez Robert,Sick Of Love,
99714,Swedish House Mafia,One (Your Name),
99716,Ewa Farna,Maska,
99722,Patricie,Pán Bůh,
99824,Ewa Farna,Stejný cíl mám dál,
99880,Ke$Ha,Take It Off,
99891,Onerepublic,Marchin On,
99897,Usher,DJ Got Us Falling´ in Love,
99914,Katy Perry,Teenage Dream,
99930,Hurts,Wonderful Life,
99983,Lady Gaga,Dance In The Dark,
100006,Roll Deep,Green Light,
100009,Radio Killer,Be Free,
100020,Seal,Secret,
100025,Maduar,I´m a Rock,
100026,Šenková Leona,Svítá,
100044,Clayton Adam,Mission,
100101,Nelly Furtado,Fuerte,
100107,Debbi,Možná se mi zdáš,
100109,Kid Cudi,Erase Me,
100116,Coco Jambo,Bude fajn,
100135,Verona,Ztracená bloudím,
100144,Alexandra Burke,All Night Long,
100149,Kryštof,DuDuDuu,
100196,Rihanna,Only Girl (In The World),
100200,Tinie Tempah,Written In The Stars,
100207,Phil Collins,Heatwave,
100222,Bruno Mars,Just the Way You Are,
100223,Robbie Williams,Shame,
100349,Kylie Minogue,Get Outta My Way,
100398,Adam Lambert,If I Had You,
100400,Nelly,Just A Dream,
100408,James Blunt,Stay the Night,
100412,Alexandra Burke,Start Without You,
100413,Sanchez Roger,2Gether,
100439,Markéta Konvičková,Láska se nedá dělit třemi,
100441,P!Nk,Raise Your Glass,
100444,Xindl X,Chemie,
100518,Chinaski,Šatna,
100520,Akon,Angel,
100543,Rytmus,Zlatokopky,
100544,Duffy,"Well, Well, Well",
100596,Shontelle,Impossible,
100598,Dj Boccelli,Radost mám,
100604,Cee-Lo Green,F*** You!,
100608,Afrojack,Take Over Control,
100618,Ke$Ha,We R Who We R,
100619,Katy Perry,Peacock,
100620,Shakira,Loca,
100627,Pitbull,Hey Baby (Drop It To The Floor),
100629,Morandi,Rock The World,
100684,Linkin Park,Waiting For The End,
100783,Black Eyed Peas,Time (The Dirty Bit),
100786,Nelly Furtado,Night Is Young,
100798,Eminem,No Love,
100809,Cheryl Cole,Promise This,
100828,No Angels,Reason,
100829,Rene La Taupe,Mignon mignon,
100830,Ting Tings,Hands,
100843,Enrique Iglesias,Heartbeat,
100847,Duck Sauce,Barbra Streisand,
100917,Šenková Leona,Vzorná holka,
100919,Far East Movement,Like a G6,
101034,Katy Perry,Firework,
101045,Take That,Flood,
101100,Train,Shake Up Christmas,
101102,Flo Rida,"Turn Around (5,4,3,2,1)",
101114,Swedish House Mafia,Miami 2 Ibiza,
101127,Slash,Beautiful Dangerous,
101188,Jackson Michael,Hold My Hand,
101193,Debbi,Touch The Sun,
101231,Rihanna,What's My Name?,
101293,Martin Solveig,Hello,
101310,Arash,Broken Angel,
101316,Kamakawiwo´ Ole Israel,Over the Rainbow,
101325,Coldplay,Christmas Lights,
101329,Stromae,House Hallelujah,
101336,David Freedom,Reason,
101344,Alesha Dixon,Radio,
101406,Lucie Vondráčková,Vánoční strom,
101409,Jewel,Hands,
101416,Rytmus,Všetko má svoj koniec,
101426,Will.I.Am,Check It Out,
101445,David Guetta,Who´s That Chick?,
101474,Nightwork,Tepláky,
101484,September,Resuscitate Me,
101488,Tim Berg,Seek Bromance,
101489,Madcon,Freaky Like Me,
101490,Laurent Wolf,Survive,
101495,T.I.,Castle Walls,
101530,Kabát,Don Pedro von Poltergeist,
101599,Laurent Wolf,Suzy,
101608,Avril Lavigne,What the Hell,
101614,Kassel Alex,Chasing The Dream,
101616,Alexandra Stan,Mr. Saxobeat,
101717,Roch Jean,My Love Is Over,
101719,Osment Emily,Let´s Be Friends,
101784,Britney Spears,Hold It Against Me,
101785,Eddie Stoilow,Frozen,
101794,Kryštof,Střepy,
101804,Diddy,Coming Home,
101810,Wiz Khalifa,Black And Yellow,
101816,Jayne Erika,One Hot Pleasure,
101820,Usher,More,
101823,Cascada,Night Nurse,
101824,Bruno Mars,Grenade,
101836,Far East Movement,Rocketeer,
101921,Ellie Goulding,Your Song,
101927,Cruz Taio,Higher,
101986,Edward Maya,Desert Rain,
102012,Remady,I´m No Superstar,
102018,Olga Lounová,Gynekolog amatér,
102023,Jennifer Lopez,On The Floor,
102026,Bob Sinclar,Tik Tok,
102127,R.E.M.,Oh My Heart,
102192,Lady Gaga,Born This Way,
102249,Milk,Hey (Nah Neh Nah),
102325,Popcorn Drama,Tak fajn,
102328,Patricie,Obama,
102330,P!Nk,Fuckin´ Perfect,
102334,Jessie J.,Price Tag,
102435,Black Eyed Peas,Just Can´t Get Enough,
102437,Inna,Sun Is Up,
102445,Indy,Pizzaman,
102447,Katy Perry,E.T.,
102491,Adele,Rolling In The Deep,
102503,Roxette,She´s Got Nothing On,
102525,Enrique Iglesias,Tonight (I'm Lovin' You),
102527,Dr. Dre,I Need A Doctor,
102534,Rihanna,S&M,
102596,Lucie Bílá,Zítřejší ráno,
102607,Justin Bieber,Never Say Never,
102613,Ke$Ha,Blow,
102617,David Koller,Teď a tady,
102626,Chinaski,Duše z gumy,
102635,Tereza Kerndlová,"Já chci jen to, co chci",
102701,Snoop Dogg,Sweat (David Guetta Version),
102708,Elena,Disco Romancing,
102711,Chris Brown,Yeah 3x,
102717,Novaspace,Don´t Look Back,
102718,Klára Kolomazníková,Osamělá,
102724,Sunrise Avenue,Hollywood Hills,
102744,Ilona Csáková,Žít co to dá,
102807,Britney Spears,Till The World Ends,
102809,Mike Posner,Bow Chicka Wow Wow,
102822,No Name,Žily,
102827,Madskill,Technotronic Flow,
102836,Gipsy.Cz,Desperado,
102848,Lucie Vondráčková,Kočičí,
102883,Charai Sophia,Pichu Pichu,
102895,Nicole Scherzinger,Don´t Hold Your Breath,
102900,Rytmus,Jebe,
102912,Mohombi,Dirty Situation,
102923,Battaglia Kaci,Body Shots,
102925,Martin Hayek,Rasputin (Jirka Šmicr),
102927,Michael Burian,Secret,
103106,Kristina,Pri oltári,
103112,Lady Gaga,Judas,
103115,Tinie Tempah,Wonderman,
103132,Pitbull,Give Me Everything (Tonight),
103148,Lmfao,Party Rock Anthem,
103190,Oceán,Odlesk tvůj,
103215,Sinclair Bob,Far L'amore,
103216,Corina,No Sleepin´,
103222,Monika Bagárová,Tanečnice,
103224,Get Far,Free,
103226,Shaggy,Fired Up,
103229,Mellow Power,Free Ride,
103232,Depeche Mode,Personal Jesus,
103236,Ben Cristovao,Mimozemšťanka,
103240,P!Nk,Heartbreak Down,
103404,Rihanna,California King Bed,
103413,Chris Brown,Beautiful People,
103417,Martin Solveig,Ready 2 Go,
103435,Bruno Mars,Lazy Song,
103448,David Guetta,Where Dem Girls At,
103511,Adele,Someone Like You,
103517,Gabry Ponte,Sexy DJ In The Club,
103525,Wiz Khalifa,No Sleep,
103531,Michal Hrůza,Plamen,
103537,Čechomor,Místečko,
103541,Petr Muk,V zahradách skleněných růží,
103599,Mandrage,Františkovy Lázně,
103607,Lucie Bílá,S ním ať jen sním,
103636,Dalibor Janda,Dům v sedmém nebi,
103677,Debbi,"La, la",
103690,Swedish House Mafia,Save The World (Tonight),
103701,Black Eyed Peas,Don’t Stop The Party,
103705,Jennifer Lopez,I’m Into You,
103709,Markéta Konvičková,Cizí světy,
103711,Alex Gaudino,What A Feeling,
103718,Aleš Háma,Na chalupě,
103721,Milow,You And Me,
103724,Alexandra Stan,Get Back,
103820,Digital Fever,Beautiful Life,
103890,Inna,Club Rocker,
103895,Enrique Iglesias,Dirty Dancer,
103900,Example,Changed The Way You Kiss Me,
103908,Jason Derulo,Don't Wanna Go Home,
103909,Support Lesbiens,Bombs And Lies,
103919,Beyoncé,Run the World (Girls),
103934,Basto!,Gregory's Theme,
103939,Kabát,Schody,
103942,Outkast,Hey Ya !,
103949,Nicole Scherzinger,Right There,
104001,Lady Gaga,Edge Of Glory,
104015,Shakira,Rabiosa,
104074,Avril Lavigne,Smile,
104083,Michal David,Čas vítězství,
104091,Verona,Hey Boy,
104099,Patricie,Zvyřátka,
104104,Mista,Rock It (United),
104123,Katy Perry,Last Friday Night (T.G.I.F.),
104127,Atb,Apollo Road,
104128,Britney Spears,I Wanna Go,
104132,Victoria,This Life,
104133,Rybičky 48,Agáta,
104136,Pitbull,Rain Over Me,
104147,Bad Meets Evil,Lighters,
104202,Miro Žbirka,Naj,
104302,Red Hot Chili Peppers,Adventures of Rain Dance Maggie,
104316,Triko Trako,Una Triko Trako,
104318,Coldplay,Every Teardrop Is a Waterfall,
104324,Petr Bende,Láska,
104328,Hannah,Taking Over Now,
104398,Chris Brown,Next 2 You,
104439,Lmfao,Champagne Showers,
104441,Petr Kolář,Navzdory hříchům,
104470,David Guetta,Little Bad Girl,
104498,Noel Sak,Loca People,
104500,Kryštof,DigiHrách,
104504,Adele,Set Fire To The Rain,http://www.youtube.com/watch?v=FlsBObg-1BQ
104509,Tereza Kerndlová,Přísahám,
104521,Mig 21,Chci ti říct,
104527,Cee-Lo Green,Bright Lights Big City,
104532,Dalibor Janda,Deset prstů pro život,
104533,Pavel Vítek,Když milenky pláčou,
104549,Green Day,American Idiot,
104582,Don Omar,Danza Kuduro,
104613,Milk,Hi a Ma,
104615,Loona,El tiburon,
104633,Alžběta Kolečkářová,Andělskej flám,
104687,Beyoncé,Best Thing I Never Had,
104693,Tinie Tempah,Love Suicide,
104696,Rihanna,Man Down,
104726,Čechomor,Limbora,
104730,Anna K.,Píseň o slzách,
104893,Dev,In The Dark,
104903,Christina Perri,Jar Of Hearts,
104906,Jennifer Lopez,Papi,
104915,Eddie Stoilow,Goodbye,
104925,David Deyl,Lež a nech si lhát,
104949,Markéta Konvičková,Zapomeň,
105000,Maroon 5,Moves Like Jagger,
105039,Dj Antoine,Welcome to St. Tropez,
105040,Luciana,I´m Still Hot,
105086,Aloe Blacc,I Need A Dollar,
105093,Ed Sheeran,The A Team,
105096,Lady Gaga,Yoü And I,
105099,Jason Derulo,It Girl,
105114,Rihanna,Cheers (Drink To That),
105123,David Guetta,Titanium,
105134,David Guetta,Without U,
105137,Jessie J.,Nobody´s Perfect,
105234,Coldplay,Paradise,
105241,Marlon Roudette,New Age,
105243,Dara Rolins,"Nebo, peklo, raj",
105306,Bruno Mars,Marry You,
105308,Selena Gomez,Love You Like A Love Song,
105309,Gym Class Heroes,Stereo Hearts,
105316,Britney Spears,Criminal,
105333,Lucie Bílá,Desatero,
105341,No Name,Ženušky,
105410,David Michal,Byla to láska,
105425,Wanted,Glad You Came,
105438,Rihanna,We Found Love,
105444,Kills Natalia,Free,
105486,Miro Žbirka,Jesenná láska,
105511,Lmfao,Sexy And I Know It,
105613,Sean Paul,Got 2 Love U,
105617,Tomáš Klus,Nina,
105639,Katy Perry,One That Got Away,
105644,Bruno Mars,It Will Rain,
105701,Václav Neckář,Půlnoční,https://www.youtube.com/watch?v=45mbYID0ec4
105703,Mandrage,Šrouby a matice,
105715,Dalibor Janda,Já se přiznám,
105717,Ewa Farna,Sama sobě,
105718,Professor Green,Read All About It,
105842,Raego,Ty a já,
105848,Hot Chelle Rae,Tonight Tonight,
105912,Dash Berlin,Better Half Of Me,
105913,Flo Rida,Good Feeling,
105917,Laidback Luke Vs. Example,Natural Disaster,
105921,Lana Del Rey,Video Games,
105922,Nickelback,When We Stand Togehter,
105926,Cobra Starship,You Make Me Feel,
105934,B.O.B,Strange Clouds,
106016,Petr Bende,V samotách,
106022,Popcorn Drama,Pýtaš sa,
106025,Wanastowi Vjecy,Korálky z Karneolu,
106039,Verona,Bez tebe,
106040,Avicii,Levels,
106044,Richard Müller,Útek,
106109,Lady Gaga,Marry The Night,
106112,T-Pain,5 O'Clock,
106120,Nayer,Suavemente,
106125,Kamakawiwo´ Ole Israel,What A Wonderful World,
106133,Foster The People,Pumped Up Kicks,
106149,Olga Lounová,K výškám,
106187,Lucie Vondráčková,Vánoční přání,
106227,Billy Mack,Christmas Is All Around,
106239,Olly Murs,Heart On My Sleeve,
106245,Coco Jambo,Srdce klauna,
106300,Noel Sak,Paso (The Nini Anthem),
106301,Airfare,Take Me On,
106305,Alžběta,Jak silná mám tu stát,
106306,Aura Dione,Geronimo,
106307,Tom Boxer,Deep In Love,
106308,Cruz Taio,Hangover,
106316,Mike Candys,One Night In Ibiza,
106339,Lucie,Medvídek,
106389,Hana Zagorová,Mé dětské svátky,
106427,Don Omar,Taboo,
106430,Mariah Carey,All I Want For Christmas Is You,
106432,Gabriela Gunčíková,Zůstanu napořád,
106434,Xindl X,Nejlepší kuchař,
106437,Dony,Hot Girls,
106438,Inna,Endless,
106448,Janek Ledecký,Sliby se maj plnit o Vánocích,https://www.youtube.com/watch?v=YLbgajaQ_U8
106510,Mohombi,In Your Head,
106526,Nightwork,Drevosůstruhár,
106532,Ph Electro,Stereo Mexico,
106533,Martin Solveig,Big In Japan,
106542,Simon From Deep Divas,Disco Dancer,
106705,Pitbull Feat Chris Brown,International Love,
106732,Jitka Charvátová,Ariel,
106733,R.I.O.,Turn This Club Around,
106734,Scooter,C´est bleu,
106740,Mista,Never Hide,
106743,Ed Sheeran,Lego House,
106747,Dj Antoine,Ma Cherie,
106748,Solid Base,Mirror Mirror,
106809,Gotye,Somebody That I Used To Know,
106821,Rihanna,You Da One,
106831,Tina,Si sám,
106914,Britney Spears,Crazy,
106915,Sunrise Avenue,I Don´t Dance,
106923,David Guetta,Turn Me On,
106929,Teló Michel,Ai se eu te pego,
